A,B
'“venga vamos a brindar como cuando nos trajeron las pizzas a la academia; vamos a brindar por haber tenido la maravillosa oportunidad de haber podido vivir una maravillosa experiencia con personas maravillosas”',NoAgresivo
' agarré el guante del novio tonta hueona A128',Agresivo
' Con razón apareció está Rata de la Orsini defendiendo a Salamanca en el Mentiras Verdaderas',Agresivo
' Consideraciones tácticas y estratégicas Dice Boric  Habla como todo un estratega Pero no le funciona',NoAgresivo
' Hasta cuando a este punga comunacho con corte de pelo de sicario se le permite hacer lo que quiera  ',NoAgresivo
' Muy mal Boric y Orsini Aún no toman el peso de estar en política representando una nueva forma de hacer las cosas',NoAgresivo
' Orsini cayó en la trampa d boric jaja una pendeja q no le ha ganado a nadie',Agresivo
' paty maldonado vieja culia flaite y raquel argandoña maraca con mala memoria',Agresivo
' Qué bueno entonces habrá que dar dos grandes PLR  ',Agresivo
' Qué gran actriz de raza qué mujer más elegante qué maravillosa compañera qué remembers qué de risas y buenos momentos hemos vivido(Todo lo que quiero contar de ti me sabe a poco)',NoAgresivo
' Una mujer maravillosa integra y luchadora Hoy me alegra que el país pida ',NoAgresivo
'Al igual que Bachelet me hice poderoso sin hacer nada',Agresivo
'Alfredo me dijo que en Latinoamerica las chilenas y argentinas son las mas lindas - Justin',NoAgresivo
'amamos a las chilenas chexico es real las chilenas son muy lindas ',NoAgresivo
'BAJA EL CARTEL MARACA CULIA JIRAFA Y LA RECONCHETUMARE SALE QUE NO VEO así vamos a estar obvio',Agresivo
'chilenos acepten que juegan mal eh TE VAI EN PURA FALAZIA MARACA CULIA SOMOS LA LEY QUE WEA',Agresivo
'coñ* buscadora de atencion mereces ser violada Nosotros los fans internacionales odiamos tu asquerosa voz nasal Para de actuar linda perra te ves horrible',Agresivo
'Donde hay un hombre como el atractivo de buena familia rodeado de mujeres bellas y donde hay una mujer como yoes una historia de dolor',NoAgresivo
'Es un ángel Ha sido una maravillosa historia de amor y de altruismo Esta mujer ha sido un hada para nosotros La compramos muy barata por cierto en un paquete ',NoAgresivo
'Escoge a una mujer de la cual puedas decir hubiera podido escogerla más bella pero no mejor',NoAgresivo
'Ese va a ser el sello de mi Gobierno dejar una democracia más transparente ética y legítima — Presidenta Bachelet',Agresivo
'Hay dos cosas infinitas El universo y el ahueonaje de los que votaron por Bachelet Y de la primera no estoy seguro Einstein',NoAgresivo
'Indigena zorraguarra moro por gente como tú dormí en la cárcel chusmaesquizofrénicabipolar loca de mierda persona tan baja mamarrachaasquerosasucia prostituta mujer de compañia vergüenza para tu raza',Agresivo
'La ciencia me reconoce como mujer pues por mi parte también la reconozco como mujer luchadora y hermosa le deseo una gran participación en el certamen y ojalá se lo gané',NoAgresivo
'las chilenas son ordinarias QUE HUEA CTM COMO QUE ORDINARIAS MARACA CULIA DIMELO A LA CARA PO PERRA CULIA ',Agresivo
'ME CAGASTE LA VIDA PERRA CONCHETUMADRE - Que pena tu vida ',Agresivo
'Michelle Bachelet prepara hasta un video para su difícil visita a la zona costera del Bío Bío http//rbbcl/4x5g // estamos esperando',NoAgresivo
'Mujer si tu belleza la determina tu cuerpo pronto dejarás de ser bella pero si tu enfoque está en el temor a Dios amarlo a Él entonces lo serás para siempre serás digna de alabanza',NoAgresivo
'Oie perra donde quieres que te rasque JAJAJAJAJAJAJAJA',NoAgresivo
'Para este Chile la puta-maraca-chancha-culiá es ella y san se acabó ',Agresivo
'Por el simple hecho de ser mujer no se tiene esa conciencia de género sino que se adquiere en un proceso que es una maquinaria que cuando la activas ya no para nunca',NoAgresivo
'Porque yo le dije vo me robai alguna wea maraca culia te boto los tres dientes q te quedan ',Agresivo
'que se creen las chilenas insultando a Australia QUE TE CREI VO HUEONA MARACA ANDA ACOSTARTE PENDEJA CULIA',Agresivo
'Se que no eres fácil creo que eres una mocosa pero se que eres la mujer mas increíble asombrosa y maravillosa del mundo',NoAgresivo
'Te amo me decía la perra que a espaldas me hacía la guerra jajajjaja',NoAgresivo
'TE ODIO PUTA CULIÁ ME CAGASTE LA VIDA CONCHETUMADRE TE ODIO MARACA DE MIERDA PUTA CULIÁ TE ODIO',Agresivo
'TE PILLO EN LA CALLE Y TE TIRO UNA PIEDRA MARACA CULIA VO SOY AWEONA O KE TE VOY A SACAR LA CHUCHA RESPETA MARACA CULIA ENFERMA BASTARDA ',Agresivo
'Tendré vigilado a Bolsonaro dijo Bachelet A Maduro nadie le hizo esa advertencia y vaya que ha cometido tantos crímenes y violaciones a los derechos humanos Son cositas',Agresivo
'UDI solicita a Bachelet pronunciarse por entrega de asilo no es una materia propia del Alto Comisionado para los Derechos Humanos sino del Alto Comisionado para los Refugiados ¿Erró el tiro la UDI o es puro afán político de molestar a Bachelet',NoAgresivo
'#Cadem El 71% no le cree a Bachelet El otro 29% son weones que constituyen su gabinete',Agresivo
'#opinoenhora20 si #bachelet sale y reconoce q se equivoco en actuar con el corazon pide disculpa las madres entenderíamos Puede revertir',NoAgresivo
'#PayaHop Gracias a la población la bachelet esta en la cima pero dejame decirte hermano q la eñora es una p mal nacida Eh Yo tb puedo',Agresivo
'@MaiteOrsini Debes ser investigada junto a Boric porque has infrigido normas Constitucionales',NoAgresivo
'@Sicoticox @Pornito_1 @DerechaTuitera si apoyas a Bachelet eres lo suficientemente TONTO para no entender no vale la pena discutir contigo',NoAgresivo
'¡Asuma mejor que su gobierno no ha hecho nada contra la delincuencia y que Chile ya está harto señor ministro ¡Su gobierno es tan malo como el de Bachelet ¡No se atreven a poner la mano dura que la gente pide a gritos ',NoAgresivo
'¡Cómo @ceciliamorel no va a ser la mujer más influyente de Chile Inteligente asertiva empática distinguida y buenamoza cualidades tan poco comunes en La Moneda desde hace tantos años ¡Felicitaciones ',NoAgresivo
'¡Ganó la familia Un gran triunfo para la familia en el último referéndum el cual aclara que el matrimonio solo es entre un hombre y una mujer ',NoAgresivo
'¡Tolerancia 0 a la violencia contra la mujer Lipigas firmó su compromiso ¡Súmate tú también',NoAgresivo
'¿Bachelet no debería ser procesada y condenada a pagar los costos de devolver a su país a los haitianos que ella misma trajo engañados ¿La designan comisionada DDHH de @ONU_es y esto no es acaso abusar de la inocencia de miles de familias que vieron vulnerados sus derechos ',NoAgresivo
'¿Cuál es el problema que Maite Orsini junto a Boric hayan visitado a Salamanca Kast se reunió con asesinos en Punta Peuco',NoAgresivo
'¿Las Chilenas tienen cara de indias JAJAJA para mi las chilenas son las mas lindas de latinoamérica son hermosas dejen de decir huevadas',NoAgresivo
'¿ME QUERÍ WEAR PERRA CULIÁ MY FRIENDS CONGRATULATIONS NICK CHUPALA MARACA SAL DE ACÁ NADIE TE QUIERE CTM',Agresivo
'¿Por qué quitarle a una mujer (estupenda x cierto) el encanto de sus curvas Donde hay masa es donde mejor se pasa ',NoAgresivo
'¿Qué Diputados del Frente Amplio sabían de la reunión de Boric con el asesino Palma Salamanca',NoAgresivo
'¿Qué espera la derecha para pedir la destitución de Maite Orsini y Gabriel Boric por reunirse a escondidas con un asesino',NoAgresivo
'¿Que fue lo bueno que hice para merecer a una mujer tan maravillosa en mi vida',NoAgresivo
'¿Que lindo no Con cargo a nuestros impuestos pagamos las noches de farra y amor por Paris de los diputados',Agresivo
'¿Quieren desviar la atención de los temas más importantes con este asunto Boric',NoAgresivo
'¿Respeta algo el Diputado ',NoAgresivo
'¿Y si esposa sabe que la trata como una puta barata aquí ¿Su mamá también la chupa bien',Agresivo
'“Las mujeres desean ser amadas no porque sean bonitas o buenas o bien educadas o graciosas o inteligentes sino por ser ellas mismas”',NoAgresivo
'“Mi ex era re celosa alta loca de mierda”',Agresivo
'“Una mujer tiene derecho a estar guapa perfecta y deseable Y eso no es provocación es arte Y el resto debe ser respeto y educación”',NoAgresivo
'1 Sube desempleo 71% 2 Baja Ranking Doing Business 3 Se contrae nuevamente la la producción industrial 4 Se anticipa debil IMACEC par Septiembre Nooo no es el gobierno de Michelle Bachelet Es Sebastián Piñera octubre 31 de 2018 Notaron  nadie se escandaliza',NoAgresivo
'3 años de trabajo para crear Ministerio de Agricultura Alimentos Pesca y Recursos Ayer la Presidenta Bachelet lo retiró del Congreso',Agresivo
'4 El problema de fondo acá no es Bachelet ni los partidos Hay que cambiar CON SUMA URGENCIA la Constitución de este país Como sea',NoAgresivo
'6 Si Twitter fuera tan influyente como lo pintan algunos Ni Bachelet ni Matthei hubiesen pasado a segunda vuelta',NoAgresivo
'A Bachelet le preocupa Bolsonaro pero sus amigos si son súper inofensivos ',NoAgresivo
'a Boric Ahora después de la Licencia por TOC y recaída por TAC ( Trastorno antipatriota compulsivo)',Agresivo
'a esa weona yo la quemaría en un centro de concentración a la terrorista de mierda si era del mir nose que webea DDHH',Agresivo
'A esta hora el 2010 Bachelet se iba a dormir con un chicle en el velador',NoAgresivo
'A la mierda todos los gnósticos hijos de puta y su filosofía barata parecen idiotas  Se han venido a cagar en la vida de muchas personas con esa secta satánica ',NoAgresivo
'A la mujer en general le molesta la mujer estupenda y no es envidia ni celos es su inseguridad y su aprendizaje machista de decadas',NoAgresivo
'A lo mejor Maite Orsini andaba de arañita entró a un departamento y tocó la mala cuea que estaba RPS adentro reunido con Gabriel Boric',NoAgresivo
'A los medios de comunicación les encanta decirle a Bolsonaro “Ultra Derechista” pero omiten decirle a Bachelet Evo Morales a kirchner o incluso a Maduro “Ultra Izquierdistas” o “Ultra Comunistas” A ellos solo “Social Democracia”',NoAgresivo
'a mi me caen muy bien las chilenas son muy lindas y nunca se meten con las mexicanas u las amo',NoAgresivo
'A mi mujer le voy a regalar una lampara de aladino pa q guarde el genio de mierda q tiene ← jajajajaja',Agresivo
'a mí no me gusta las expresiones del diputado boric creo que hace mucho daño a chile entero con esta acción',NoAgresivo
