A,B
'venga brindar trajeron pizzas academia brindar maravillosa oportunidad podido vivir maravillosa experiencia personas maravillosas',NoAgresivo
' agarre guante novio tonta hueona A128',Agresivo
' Con razon aparecio está Rata Orsini defendiendo Salamanca Mentiras Verdaderas',Agresivo
' Consideraciones tácticas estrategicas Dice Boric  Habla estratega Pero funciona',NoAgresivo
' Hasta punga comunacho corte pelo sicario permite quiera  ',NoAgresivo
' Muy mal Boric Orsini Aun toman peso politica representando forma',NoAgresivo
' Orsini cayo trampa d boric jaja pendeja q ganado',Agresivo
' paty maldonado vieja culia flaite raquel argandona maraca mala memoria',Agresivo
' Que habrá PLR  ',Agresivo
' Que actriz raza mujer más elegante maravillosa companera remembers risas momentos vivido(Todo quiero contar ti sabe poco)',NoAgresivo
' Una mujer maravillosa integra luchadora Hoy alegra pais pida ',NoAgresivo
'Al Bachelet hice poderoso',Agresivo
'Alfredo Latinoamerica chilenas argentinas mas lindas  Justin',NoAgresivo
'amamos chilenas chexico real chilenas lindas ',NoAgresivo
'BAJA EL CARTEL MARACA CULIA JIRAFA Y LA RECONCHETUMARE SALE QUE NO VEO asi obvio',Agresivo
'chilenos acepten juegan mal eh TE VAI EN PURA FALAZIA MARACA CULIA SOMOS LA LEY QUE WEA',Agresivo
'con* buscadora atencion mereces violada Nosotros fans internacionales odiamos tu asquerosa voz nasal Para actuar linda perra te ves horrible',Agresivo
'Donde hombre atractivo familia rodeado mujeres bellas mujer yoes historia dolor',NoAgresivo
'Es ángel Ha maravillosa historia amor altruismo Esta mujer hada La compramos barata paquete ',NoAgresivo
'Escoge mujer puedas hubiera podido escogerla más bella',NoAgresivo
'Ese sello Gobierno dejar democracia más transparente etica legitima — Presidenta Bachelet',Agresivo
'Hay infinitas El universo ahueonaje votaron Bachelet Y seguro Einstein',NoAgresivo
'Indigena zorraguarra moro gente tu dormi cárcel chusmaesquizofrenicabipolar loca mierda persona baja mamarrachaasquerosasucia prostituta mujer compania verguenza tu raza',Agresivo
'La ciencia reconoce mujer tambien reconozco mujer luchadora hermosa deseo participacion certamen ojalá gane',NoAgresivo
'chilenas ordinarias QUE HUEA CTM COMO QUE ORDINARIAS MARACA CULIA DIMELO A LA CARA PO PERRA CULIA ',Agresivo
'ME CAGASTE LA VIDA PERRA CONCHETUMADRE  Que pena tu vida ',Agresivo
'Michelle Bachelet prepara video dificil visita zona costera Bio Bio httprbbcl/4x5g  esperando',NoAgresivo
'Mujer tu belleza determina tu cuerpo pronto dejarás bella tu enfoque está temor Dios amarlo El serás serás digna alabanza',NoAgresivo
'Oie perra quieres te rasque JAJAJAJAJAJAJAJA',NoAgresivo
'Para Chile putamaracachanchaculiá san acabo ',Agresivo
'Por simple mujer conciencia genero adquiere proceso maquinaria activas',NoAgresivo
'Porque dije vo robai wea maraca culia te boto dientes q te quedan ',Agresivo
'creen chilenas insultando Australia QUE TE CREI VO HUEONA MARACA ANDA ACOSTARTE PENDEJA CULIA',Agresivo
'Se eres fácil eres mocosa eres mujer mas increible asombrosa maravillosa mundo',NoAgresivo
'Te amo decia perra espaldas guerra jajajjaja',NoAgresivo
'TE ODIO PUTA CULIA ME CAGASTE LA VIDA CONCHETUMADRE TE ODIO MARACA DE MIERDA PUTA CULIA TE ODIO',Agresivo
'TE PILLO EN LA CALLE Y TE TIRO UNA PIEDRA MARACA CULIA VO SOY AWEONA O KE TE VOY A SACAR LA CHUCHA RESPETA MARACA CULIA ENFERMA BASTARDA ',Agresivo
'Tendre vigilado Bolsonaro Bachelet A Maduro advertencia vaya cometido tantos crimenes violaciones derechos humanos Son cositas',Agresivo
'UDI solicita Bachelet pronunciarse entrega asilo materia Alto Comisionado Derechos Humanos Alto Comisionado Refugiados Erro tiro UDI puro afán politico molestar Bachelet',NoAgresivo
'Cadem El 71% cree Bachelet El 29% weones constituyen gabinete',Agresivo
'opinoenhora20 bachelet sale reconoce q equivoco actuar corazon pide disculpa madres entenderiamos Puede revertir',NoAgresivo
'PayaHop Gracias poblacion bachelet cima dejame decirte hermano q enora p mal nacida Eh Yo tb puedo',Agresivo
'MaiteOrsini Debes investigada Boric has infrigido normas Constitucionales',NoAgresivo
'Sicoticox Pornito1 DerechaTuitera apoyas Bachelet eres suficientemente TONTO entender vale pena discutir contigo',NoAgresivo
'Asuma gobierno delincuencia Chile está harto senor ministro Su gobierno malo Bachelet No atreven mano dura gente pide gritos ',NoAgresivo
'Como ceciliamorel mujer más influyente Chile Inteligente asertiva empática distinguida buenamoza cualidades comunes La Moneda tantos anos Felicitaciones ',NoAgresivo
'Gano familia Un triunfo familia ultimo referendum aclara matrimonio hombre mujer ',NoAgresivo
'Tolerancia 0 violencia mujer Lipigas firmo compromiso Sumate tu tambien',NoAgresivo
'Bachelet deberia procesada condenada pagar costos devolver pais haitianos trajo enganados La designan comisionada DDHH ONUes acaso abusar inocencia miles familias vieron vulnerados derechos ',NoAgresivo
'Cuál problema Maite Orsini Boric hayan visitado Salamanca Kast reunio asesinos Punta Peuco',NoAgresivo
'Las Chilenas cara indias JAJAJA chilenas mas lindas latinoamerica hermosas dejen huevadas',NoAgresivo
'ME QUERI WEAR PERRA CULIA MY FRIENDS CONGRATULATIONS NICK CHUPALA MARACA SAL DE ACA NADIE TE QUIERE CTM',Agresivo
'Por quitarle mujer (estupenda x cierto) encanto curvas Donde masa pasa ',NoAgresivo
'Que Diputados Frente Amplio sabian reunion Boric asesino Palma Salamanca',NoAgresivo
'Que espera derecha pedir destitucion Maite Orsini Gabriel Boric reunirse escondidas asesino',NoAgresivo
'Que hice merecer mujer maravillosa vida',NoAgresivo
'Que lindo Con cargo impuestos pagamos noches farra amor Paris diputados',Agresivo
'Quieren desviar atencion temas más importantes asunto Boric',NoAgresivo
'Respeta Diputado ',NoAgresivo
'Y esposa sabe puta barata aqui Su mamá tambien chupa',Agresivo
'Las mujeres desean amadas bonitas educadas graciosas inteligentes',NoAgresivo
'Mi re celosa alta loca mierda',Agresivo
'Una mujer derecho guapa perfecta deseable Y provocacion arte Y resto respeto educacion',NoAgresivo
'1 Sube desempleo 71% 2 Baja Ranking Doing Business 3 Se contrae nuevamente produccion industrial 4 Se anticipa debil IMACEC par Septiembre Nooo gobierno Michelle Bachelet Es Sebastián Pinera octubre 31 2018 Notaron  escandaliza',NoAgresivo
'3 anos trabajo crear Ministerio Agricultura Alimentos Pesca Recursos Ayer Presidenta Bachelet retiro Congreso',Agresivo
'4 El problema fondo acá Bachelet partidos Hay cambiar CON SUMA URGENCIA Constitucion pais Como',NoAgresivo
'6 Si Twitter influyente pintan Ni Bachelet Matthei hubiesen vuelta',NoAgresivo
'A Bachelet preocupa Bolsonaro amigos super inofensivos ',NoAgresivo
'Boric Ahora despues Licencia TOC recaida TAC ( Trastorno antipatriota compulsivo)',Agresivo
'weona quemaria centro concentracion terrorista mierda mir nose webea DDHH',Agresivo
'A hora 2010 Bachelet iba dormir chicle velador',NoAgresivo
'A mierda gnosticos hijos puta filosofia barata parecen idiotas  Se venido cagar vida personas secta satánica ',NoAgresivo
'A mujer general molesta mujer estupenda envidia celos inseguridad aprendizaje machista decadas',NoAgresivo
'A Maite Orsini andaba aranita entro departamento toco mala cuea RPS adentro reunido Gabriel Boric',NoAgresivo
'A medios comunicacion encanta decirle Bolsonaro Ultra Derechista omiten decirle Bachelet Evo Morales kirchner Maduro Ultra Izquierdistas Ultra Comunistas A Social Democracia',NoAgresivo
'caen chilenas lindas meten mexicanas amo',NoAgresivo
'A mujer voy regalar lampara aladino pa q guarde genio mierda q ← jajajajaja',Agresivo
'gusta expresiones diputado boric dano chile entero accion',NoAgresivo
'A Miss Ucrania piden renunciar corona descubrir madre soltera mujer bella A Miss Espana aplauden paticipe Miss Universo cortarse miembro viril vuelve mujer  hombre ',Agresivo
'A mujeres rompemos corazon',NoAgresivo
'Srta Que noticias atenta independencia radio euforica llegada Bachelet',NoAgresivo
'edad nosotros/as jovenes 70s 80s dudamos combatir tirania Si teniamos miedo',NoAgresivo
'A gracias aceptar entender emocion soy soy gracias mujer maravillosa evidencia creido',NoAgresivo
'A mujer signo ARIES recomendable tenerla SIEMPRE amiga enemiga peor diablo',Agresivo
'A mujer pega Berni golpearia pa deje mierda pololo',Agresivo
'A vs t quedar piojos negra sarnosa',Agresivo
'Aaaa perra desgraciada ',Agresivo
'aaaa watona ql mierda haces hablando ahi Chile weona hablando pasa acá ven Chile mierda',Agresivo
'Acá Chile medios comunicacion izquierda temen Bolsonaro destape olla caiga Bachelet',NoAgresivo
'Acá estadistica DESIGUALAD gobierno bachelet  Y asi cara dura habla NO + DESIGUALDAD ',Agresivo
'Acá más parques (electricos) Bachelet cuidar medio ambiente ',Agresivo
'Acaso mugrienta sarnosa tiro tweet',Agresivo
'Acompanando mujer nacimiento senectud Feliz dia profesion maravillosa estáis punto adentraros ',NoAgresivo
'Acordándome amiga persona mujer amiga katrinamorenoof q deseo vida merece A hablamos amiga mia cuidate dale besitos familia',NoAgresivo
'Además eres mujer fea…',Agresivo
'Aeropuerto Michelle Bachelet arda ',NoAgresivo
'Agradecido vida fortuna coincidir mujer maravillosa has companera proyectos aventuras alegrias Gracias Cristina celebrar ano más enamorados',NoAgresivo
'Ahi pedir destitucion GBoric Maite Orsini',NoAgresivo
'Ahora matiasdelrio insinuando q Bachelet modificar informe q entrego Engel Muy pelotudo',NoAgresivo
'Ahora culpable lluvia descansa rato Bachelet',NoAgresivo
'Ahora Haitianos protestan frente embajada  quizás debieran entender utilizados carne canon gobierno izquierda liderado Bachelet  ahi reclamen pataleen razon',NoAgresivo
'Ajajajajajajaj perdon te volviste perra pense buscabas dinero',Agresivo
'Al terminaron TiemposPeores 176 haitianos llegaron Chile enganados Bachelet jesuitas Hoy actual gobierno responsable sensata permitio volver pais traves Plan Retorno Humanitario Progres zurderio pataletas',NoAgresivo
'Al parecer Pdta Bachelet aun entiende prioridades delegada Reconstruccion aun norte perdio biobio',NoAgresivo
'Al Esto Creo Firmemente MICHELLE BACHELET Persona Menos Indicada Defender DDHH',NoAgresivo
'Al volver Michelle Bachelet demuestra ambicion poder fuese vocacion servicio seguiria ',NoAgresivo
'ALEMISA MALDITA ERES UNA ZORRA DEVUELVEME ESO',Agresivo
'Algo debi vida quizá mujer maravillosa gracias companera viaje vida ',NoAgresivo
'amiga quiero te mueras mira perra q tenes lucirte jajaja amo',NoAgresivo
'amigaaaaaa estás tiempo juntarnos (maraca culiá te odio ojalá más verte)',Agresivo
'AMO onda mujeres dia vibras hermosas ',NoAgresivo
'amor violento tonta weona wena pal p marengo mas weona perros',Agresivo
'Ana Lya Uriarte Si Bachelet emancipa d flia DavalosChampignon terminarán sepultarla D flia q divorciarse',Agresivo
'anciones Es broma Tan tibios politicos derecha brillo',NoAgresivo
'Anda vida social Punta Peuco mejortonta weona',Agresivo
'Anda lavarte culo mujer jodan Tu quieres sacarle provecho desgracias demas',Agresivo
'ANDAN PURO MATANDO A LOS MAPUCHE VIEJA MARACA SAPA CONCHETUMARE SOY TAN HUEONA QUE LE PASAY EL HOLLO AL PIÑERA BASTARDA CULEA EL PUEBLO MAPUCHE DISE QUE VA COBRAR VENGANSA PASANDOTE EL PICO POR LA JETA BORRACHA MARACA SAPA EDIONDA Y LA RECONCHETUMARE TRAGASABLEDE CARNE ',Agresivo
'Andate region vieja culiá',Agresivo
'Andate maraca culiá Kenita suficiente necesitamos importar más maracas',Agresivo
'Anoche tranqui bailando boliche acercan 4 pibes sacarme bailar (iban probando uno) dije insistian insistian cansaron tiraron ANDA A LA CONCHA DE TU MADRE LOCA DE MIERDA ASI NO VAS A COGER NUNCA',Agresivo
'AONDE TA LA VIEJA CULIA QUE GRITO QUE SE VAYA ANDATE VO MARACA CONCHETUMAREEEE NO SI NO FALTAN ESAS WEONAS E LOS FANDOM ',Agresivo
'aportar felicidad persona siente gracias ',NoAgresivo
'Apoyando deporte Femenino municipio  mujeres berracas luchadoras emprendedoras deportistas Felicidades ',NoAgresivo
'Aprende escribir engendro ctm Como cagas vida tu hijo palabras inexistentes tonta weona inculiable Saludos',Agresivo
'Aprovecho felicitar Gbrno presidenta Bachelet dia Nacional circo ',NoAgresivo
'Aqui te critican salir peda eres zorra mala nina etc estressssss',Agresivo
'Argentinas chilenas peleandose paraguay están mujeres más lindas mundo',NoAgresivo
'ASI COMO ERES D DESCARADA PUTABARATA ACTRIZPORNO MAGGIECIVANTOS LLEVAS D VIAJE YFOLLAS CON EL PERVERTIDOPEDOFILO VIOLADORDEMENORES COLMENAR XQ NO LO ENSEÑAS PERRAASQUEROSA TEFOLLAS UN VIOLADORDEMENORES DROGADAYBORRACHA LA UNICA MANERA DFOLLAR PROSTITUTABARATA COMPLICE',Agresivo
