A,B
'“venga brindar trajeron pizzas academia; brindar haber tenido maravillosa oportunidad de haber podido vivir maravillosa experiencia personas maravillosas”',NoAgresivo
' agarré guante novio tonta hueona A128',Agresivo
' Con razón apareció está Rata de Orsini defendiendo Salamanca Mentiras Verdaderas',Agresivo
' Consideraciones tácticas y estratégicas Dice Boric  Habla estratega Pero no le funciona',NoAgresivo
' Hasta este punga comunacho corte de pelo de sicario se le permite quiera  ',NoAgresivo
' Muy mal Boric y Orsini Aún no toman peso de estar política representando nueva forma de cosas',NoAgresivo
' Orsini cayó trampa d boric jaja pendeja q no le ganado nadie',Agresivo
' paty maldonado vieja culia flaite y raquel argandoña maraca mala memoria',Agresivo
' Qué bueno habrá dar grandes PLR  ',Agresivo
' Qué gran actriz de raza qué mujer más elegante qué maravillosa compañera qué remembers qué de risas y buenos momentos hemos vivido(Todo quiero contar de ti me poco)',NoAgresivo
' Una mujer maravillosa integra y luchadora Hoy me alegra país pida ',NoAgresivo
'Al igual Bachelet me hice poderoso nada',Agresivo
'Alfredo me dijo Latinoamerica chilenas y argentinas son mas lindas - Justin',NoAgresivo
'amamos chilenas chexico real chilenas son lindas ',NoAgresivo
'BAJA EL CARTEL MARACA CULIA JIRAFA Y LA RECONCHETUMARE SALE QUE NO VEO así estar obvio',Agresivo
'chilenos acepten juegan mal eh TE VAI EN PURA FALAZIA MARACA CULIA SOMOS LA LEY QUE WEA',Agresivo
'coñ* buscadora de atencion mereces violada Nosotros fans internacionales odiamos tu asquerosa voz nasal Para de actuar linda perra te ves horrible',Agresivo
'Donde hay hombre atractivo de buena familia rodeado de mujeres bellas y hay mujer yoes historia de dolor',NoAgresivo
'Es ángel Ha sido maravillosa historia de amor y de altruismo Esta mujer sido hada La compramos barata paquete ',NoAgresivo
'Escoge mujer de puedas decir hubiera podido escogerla más bella no mejor',NoAgresivo
'Ese sello de mi Gobierno dejar democracia más transparente ética y legítima — Presidenta Bachelet',Agresivo
'Hay cosas infinitas El universo y ahueonaje de votaron Bachelet Y de primera no seguro Einstein',NoAgresivo
'Indigena zorraguarra moro gente tú dormí cárcel chusmaesquizofrénicabipolar loca de mierda persona baja mamarrachaasquerosasucia prostituta mujer de compañia vergüenza tu raza',Agresivo
'La ciencia me reconoce mujer pues mi parte también reconozco mujer luchadora y hermosa le deseo gran participación certamen y ojalá se gané',NoAgresivo
'chilenas son ordinarias QUE HUEA CTM COMO QUE ORDINARIAS MARACA CULIA DIMELO A LA CARA PO PERRA CULIA ',Agresivo
'ME CAGASTE LA VIDA PERRA CONCHETUMADRE - Que pena tu vida ',Agresivo
'Michelle Bachelet prepara hasta video difícil visita zona costera Bío Bío http//rbbcl/4x5g // esperando',NoAgresivo
'Mujer tu belleza determina tu cuerpo pronto dejarás de bella tu enfoque está temor Dios amarlo Él serás siempre serás digna de alabanza',NoAgresivo
'Oie perra quieres te rasque JAJAJAJAJAJAJAJA',NoAgresivo
'Para este Chile puta-maraca-chancha-culiá ella y san se acabó ',Agresivo
'Por simple hecho de mujer no se conciencia de género sino se adquiere proceso maquinaria activas ya no nunca',NoAgresivo
'Porque le dije vo me robai wea maraca culia te boto tres dientes q te quedan ',Agresivo
'se creen chilenas insultando Australia QUE TE CREI VO HUEONA MARACA ANDA ACOSTARTE PENDEJA CULIA',Agresivo
'Se no fácil creo mocosa se mujer mas increíble asombrosa y maravillosa mundo',NoAgresivo
'Te amo me decía perra espaldas me hacía guerra jajajjaja',NoAgresivo
'TE ODIO PUTA CULIÁ ME CAGASTE LA VIDA CONCHETUMADRE TE ODIO MARACA DE MIERDA PUTA CULIÁ TE ODIO',Agresivo
'TE PILLO EN LA CALLE Y TE TIRO UNA PIEDRA MARACA CULIA VO SOY AWEONA O KE TE VOY A SACAR LA CHUCHA RESPETA MARACA CULIA ENFERMA BASTARDA ',Agresivo
'Tendré vigilado Bolsonaro dijo Bachelet A Maduro nadie le hizo advertencia y cometido tantos crímenes y violaciones derechos humanos Son cositas',Agresivo
'UDI solicita Bachelet pronunciarse entrega de asilo no materia propia Alto Comisionado Derechos Humanos sino Alto Comisionado Refugiados ¿Erró tiro UDI o puro afán político de molestar Bachelet',NoAgresivo
'#Cadem El 71% no le cree Bachelet El 29% son weones constituyen gabinete',Agresivo
'#opinoenhora20 #bachelet sale y reconoce q se equivoco actuar corazon pide disculpa madres entenderíamos Puede revertir',NoAgresivo
'#PayaHop Gracias población bachelet cima dejame decirte hermano q eñora p mal nacida Eh Yo tb',Agresivo
'@MaiteOrsini Debes investigada junto Boric has infrigido normas Constitucionales',NoAgresivo
'@Sicoticox @Pornito_1 @DerechaTuitera apoyas Bachelet suficientemente TONTO no entender no vale pena discutir contigo',NoAgresivo
'¡Asuma mejor gobierno no hecho nada contra delincuencia y Chile ya está harto señor ministro ¡Su gobierno malo de Bachelet ¡No se atreven poner mano dura gente pide gritos ',NoAgresivo
'¡Cómo @ceciliamorel no mujer más influyente de Chile Inteligente asertiva empática distinguida y buenamoza cualidades poco comunes La Moneda tantos años ¡Felicitaciones ',NoAgresivo
'¡Ganó familia Un gran triunfo familia último referéndum aclara matrimonio hombre y mujer ',NoAgresivo
'¡Tolerancia 0 violencia contra mujer Lipigas firmó compromiso ¡Súmate tú también',NoAgresivo
'¿Bachelet no debería procesada y condenada pagar costos de devolver país haitianos ella misma trajo engañados ¿La designan comisionada DDHH de @ONU_es y esto no acaso abusar de inocencia de miles de familias vieron vulnerados derechos ',NoAgresivo
