A,B
'venga_vmm0000 vamos_vmip000 a_sp000 brindar_vmn0000 como_cs cuando_cs nos_pp000000 trajeron_vmis000 las_da0000 pizzas_nc0p000 a_sp000 la_da0000 academia_nc0s000 vamos_vmip000 a_sp000 brindar_vmn0000 por_sp000 haber_van0000 tenido_vmp0000 la_da0000 maravillosa_aq0000 oportunidad_nc0s000 de_sp000 haber_van0000 podido_vmp0000 vivir_vmn0000 una_di0000 maravillosa_aq0000 experiencia_nc0s000 con_sp000 personas_nc0p000 maravillosas_aq0000 ',NoAgresivo
'agarre_vmip000 el_da0000 guante_nc0s000 del_sp000 novio_nc0s000 tonta_aq0000 hueona_vmip000 A128_np00000 ',Agresivo
'Con_sp000 razon_nc0s000 aparecio_vmis000 está_vmip000 Rata_np00000 de_sp000 la_da0000 Orsini_np00000 defendiendo_vmg0000 a_sp000 Salamanca_np00000 en_sp000 el_da0000 Mentiras_np00000 Verdaderas_aq0000 ',Agresivo
'Consideraciones_nc0p000 tácticas_aq0000 y_cc estrategicas_aq0000 Dice_vmip000 Boric_np00000 Habla_vmip000 como_cs todo_di0000 un_di0000 estratega_nc0s000 Pero_cc no_rn le_pp000000 funciona_vmip000 ',NoAgresivo
'Hasta_rg cuando_cs a_sp000 este_dd0000 punga_nc0s000 comunacho_vmip000 con_sp000 corte_nc0s000 de_sp000 pelo_nc0s000 de_sp000 sicario_nc0s000 se_p0000000 le_pp000000 permite_vmip000 hacer_vmn0000 lo_da0000 que_pr000000 quiera_vmsp000 ',NoAgresivo
'Muy_rg mal_rg Boric_np00000 y_cc Orsini_np00000 Aun_rg no_rn toman_vmip000 el_da0000 peso_nc0s000 de_sp000 estar_vmn0000 en_sp000 politica_np00000 representando_vmg0000 una_di0000 nueva_aq0000 forma_nc0s000 de_sp000 hacer_vmn0000 las_da0000 cosas_nc0p000 ',NoAgresivo
'Orsini_np00000 cayo_vmis000 en_sp000 la_da0000 trampa_np00000 d_sp000 boric_nc0s000 jaja_i una_di0000 pendeja_nc0s000 q_cs no_rn le_pp000000 ha_vaip000 ganado_vmp0000 a_sp000 nadie_pi000000 ',Agresivo
'paty_nc0s000 maldonado_aq0000 vieja_aq0000 culia_vmsp000 flaite_nc0s000 y_cc raquel_nc0s000 argandona_aq0000 maraca_np00000 con_sp000 mala_aq0000 memoria_nc0s000 ',Agresivo
'Que_pe000000 bueno_aq0000 entonces_rg habrá_vaif000 que_cs dar_vmn0000 dos_dn0000 grandes_aq0000 PLR_np00000 ',Agresivo
'Que_cs gran_aq0000 actriz_nc0s000 de_sp000 raza_nc0s000 que_cs mujer_nc0s000 más_rg elegante_aq0000 que_cs maravillosa_aq0000 companera_nc0s000 que_pr000000 remembers_vmip000 que_cs de_sp000 risas_nc0p000 y_cc buenos_aq0000 momentos_nc0p000 hemos_vaip000 vivido_vmp0000 -LRB-_np00000 Todo_di0000 lo_da0000 que_pr000000 quiero_vmip000 contar_vmn0000 de_sp000 ti_pp000000 me_pp000000 sabe_vmip000 a_sp000 poco_di0000 -RRB-_np00000 ',NoAgresivo
